Repository,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,javascript-package-metadata-exists,ruby-package-metadata-exists,java-package-metadata-exists,python-package-metadata-exists,objective-c-package-metadata-exists,swift-package-metadata-exists,erlang-package-metadata-exists,elixir-package-metadata-exists,license-detectable-by-licensee,notice-file-exists
openshift-workshop,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
gigles,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
templates,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
openshift-components,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
issues-and-solutions,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
meta-guide-docker,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
openopps-platform,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
illr,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
shiftbot,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
openshift-tools,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
